date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:25	1832/1832	---M--	200	added ('OK')	image/png	etag:%222fe3d3cedffbd31:0%22	http://vietlott.vn/images/home/multi_application1.png	D:/private/webclone/vietlott/vietlott.vn/images/home/multi_application1.png	(from http://vietlott.vn/)
15:14:25	1610/1610	---M--	200	added ('OK')	image/png	etag:%22c4177d3dffbd31:0%22	http://vietlott.vn/images/home/multi_application2.png	D:/private/webclone/vietlott/vietlott.vn/images/home/multi_application2.png	(from http://vietlott.vn/)
15:14:27	67228/67228	---M--	200	added ('OK')	image/jpeg	etag:%22bec6d261e9dd41:0%22	http://media.vietlott.vn/main/06.2018/kd/winner.avatar/2(19).jpg	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/kd/winner.avatar/2(19).jpg	(from http://vietlott.vn/)
15:14:27	126/126	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jul%202018%2008:14:26%20GMT	http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/645.html	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/645.4d.delayed	(from http://vietlott.vn/vi/home)
15:14:27	18747/18747	---M-Z	200	added ('OK')	text/html	etag:%2280f58e4e310d41:0%22	http://vietlott.vn/404.html	D:/private/webclone/vietlott/vietlott.vn/404.html	(from http://vietlott.vn/vi/home)
15:14:28	126/126	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jul%202018%2008:14:27%20GMT	http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/winning-number-645	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/winning-number-645.4f.delayed	(from http://vietlott.vn/vi/home)
15:14:28	126/126	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jul%202018%2008:14:27%20GMT	http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/655.html	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/655.50.delayed	(from http://vietlott.vn/vi/home)
15:14:28	0/-1	---M--	302	error ('')			http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/655.html	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/655.51.delayed	(from http://vietlott.vn/vi/home)
15:14:28	126/126	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jul%202018%2008:14:27%20GMT	http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/winning-number-655	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/winning-number-655.52.delayed	(from http://vietlott.vn/vi/home)
15:14:28	126/126	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jul%202018%2008:14:27%20GMT	http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/max-4d.html	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/max-4d.53.delayed	(from http://vietlott.vn/vi/home)
15:14:29	0/-1	---M--	302	error ('')			http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/max-4d.html	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/max-4d.54.delayed	(from http://vietlott.vn/vi/home)
15:14:29	126/126	---M--	302	error ('Found')	text/html	date:Mon,%2016%20Jul%202018%2008:14:28%20GMT	http://vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/winning-number-max-4d	D:/private/webclone/vietlott/vietlott.vn/vi/vi/trung-thuong/ket-qua-trung-thuong/winning-number-max-4d.55.delayed	(from http://vietlott.vn/vi/home)
15:14:32	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2201f31ca3fe6d11:0%22	http://vietlott.vn/fonts/glyphicons-halflings-regular.eot	D:/private/webclone/vietlott/vietlott.vn/fonts/glyphicons-halflings-regular.eot	(from http://vietlott.vn/css/bootstrap.min.css)
15:14:34	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2201f31ca3fe6d11:0%22	http://vietlott.vn/fonts/glyphicons-halflings-regular.eot?	D:/private/webclone/vietlott/vietlott.vn/fonts/glyphicons-halflings-regulard41d.eot	(from http://vietlott.vn/css/bootstrap.min.css)
15:14:35	195094/195094	---M--	200	added ('OK')	image/jpeg	etag:%226a402f1edcdd41:0%22	http://media.vietlott.vn/main/06.2018/kd/winner.avatar/125-anh.jpg	D:/private/webclone/vietlott/media.vietlott.vn/main/06.2018/kd/winner.avatar/125-anh.jpg	(from http://vietlott.vn/)
15:14:37	18028/18028	---M--	200	added ('OK')	application/font-woff2	etag:%2201f31ca3fe6d11:0%22	http://vietlott.vn/fonts/glyphicons-halflings-regular.woff2	D:/private/webclone/vietlott/vietlott.vn/fonts/glyphicons-halflings-regular.woff2	(from http://vietlott.vn/css/bootstrap.min.css)
